review_text,sentiment,rating,author
"Amazing quality and fast delivery. I would buy this again.",positive,5,Aarav
"The product stopped working after two days and support was unhelpful.",negative,1,Meera
"Packaging was okay, but the item matched the description.",neutral,3,Rohan
"Excellent value for money and the battery lasts all day.",positive,5,Anaya
"Received a damaged item and the replacement took forever.",negative,1,Kabir
"Average product. Nothing special, nothing terrible.",neutral,3,Isha
"Super comfortable, exactly as advertised, and arrived early.",positive,5,Vihaan
"The size chart is wrong and the fabric feels cheap.",negative,2,Sanya
"Delivery was delayed, but customer care resolved the issue.",neutral,3,Dev
"Great finish, sturdy build, and premium feel.",positive,5,Tara
"Very poor quality. The handle broke within a week.",negative,1,Arjun
"It works as expected for the price.",neutral,3,Nisha
"Loved the design and the seller packed it carefully.",positive,5,Reyansh
"Not worth the money. The listing photos were misleading.",negative,1,Priya
"Color is slightly different from the photo but acceptable.",neutral,3,Neel
